"","Date","Close","AA","AAPL","AXP","BA","BAC","C","CAT","CSCO","CVX","DD","DIS","DWDP","GE","GM","GS","HD","HPE","IBM","INTC","JNJ","JPM","KO","KRFT","MCD","MMM","MRK","MSFT","NKE","PFE","PG","T","TRV","UNH","UTX","V","VZ","WBA","WMT","XOM","v.INDU","v.DIA","v.Divisor","AA.1","AAPL.1","AXP.1","BA.1","BAC.1","C.1","CAT.1","CSCO.1","CVX.1","DD.1","DIS.1","DWDP.1","GE.1","GM.1","GS.1","HD.1","HPE.1","IBM.1","INTC.1","JNJ.1","JPM.1","KO.1","KRFT.1","MCD.1","MMM.1","MRK.1","MSFT.1","NKE.1","PFE.1","PG.1","T.1","TRV.1","UNH.1","UTX.1","V.1","VZ.1","WBA.1","WMT.1","XOM.1","v.posrows"
"18",2009-04-23,85.370003,NA,125.4,20.97,37.93,8.82,3.2,32.45,17.62,65.53,27.46,19.63,12.39,11.88,NA,122.81,25.76,NA,101.42,15.53,51.4,33.21,42.92,NA,55.3,54.21,23.23,18.92,54.39,13.28,49.32,25.5,40.21,23.16,48.04,58.23,31,29.35,48.86,65.71,7957.06,79.39,0.14748072,0,0,20.97,37.93,8.82,3.2,32.45,0,65.53,27.46,19.63,0,11.88,0,0,25.76,0,101.42,15.53,51.4,33.21,42.92,0,55.3,54.21,23.23,18.92,0,13.28,49.32,25.5,0,0,48.04,0,31,0,48.86,65.71,26
"19",2009-04-24,86.660004,NA,123.9,25.3,38.72,9.1,3.19,33.63,18.42,66.6,28.78,20.26,12.99,12.11,NA,121.3,26.31,NA,100.08,15.62,50.92,33.38,42.79,NA,54.31,57,23.45,20.91,54.73,13.17,49.51,25.16,39.5,23.06,49.37,60.38,31,29.59,47.87,66.57,8076.29,80.47,0.14748072,0,0,25.3,38.72,9.1,3.19,33.63,0,66.6,28.78,20.26,0,12.11,0,0,26.31,0,100.08,15.62,50.92,33.38,42.79,0,54.31,57,23.45,20.91,0,13.17,49.51,25.16,0,0,49.37,0,31,0,47.87,66.57,26
"20",2009-04-27,85.839996,NA,124.73,24.23,39.47,8.92,3.07,33.39,18.37,65.41,27.5,19.74,12.61,12.09,NA,120.9,25.88,NA,99.95,15.28,50.86,32.78,42.24,NA,54.49,57.35,23.44,20.4,54.13,13.49,49.97,25.31,40.33,23.01,48.46,58.87,30.54,29.25,48.51,66.13,8025,80,0.14748072,0,0,24.23,39.47,8.92,3.07,33.39,0,65.41,27.5,19.74,0,12.09,0,0,25.88,0,99.95,15.28,50.86,32.78,42.24,0,54.49,57.35,23.44,20.4,0,13.49,49.97,25.31,0,0,48.46,0,30.54,0,48.51,66.13,26
"21",2009-04-28,85.57,NA,123.902,24.15,38.85,8.15,2.89,32.78,18.67,65.99,27.51,19.51,13,12,NA,120.67,26.07,NA,101.94,15.05,50.65,32.79,42.28,NA,54.53,56.55,23.17,19.93,55.59,13.39,49.69,25.65,40.92,23.89,47.97,60.71,30.96,30,48.47,67.08,8016.95,79.86,0.14748072,0,0,24.15,38.85,8.15,2.89,32.78,0,65.99,27.51,19.51,0,12,0,0,26.07,0,101.94,15.05,50.65,32.79,42.28,0,54.53,56.55,23.17,19.93,0,13.39,49.69,25.65,0,0,47.97,0,30.96,0,48.47,67.08,26
"22",2009-04-29,87.389999,NA,125.14,24.95,40.55,8.68,3.12,33.69,19.25,67.56,28.02,21.01,13.51,12.22,NA,127.18,26.34,NA,104.04,15.35,51.03,34.48,42.71,NA,54.41,57.52,23.9,20.25,52.96,13.43,50.42,25.52,42.56,23.87,48.91,63.51,30.41,31.14,50.45,68.44,8185.73,81.51,0.14748072,0,0,24.95,40.55,8.68,3.12,33.69,0,67.56,28.02,21.01,0,12.22,0,0,26.34,0,104.04,15.35,51.03,34.48,42.71,0,54.41,57.52,23.9,20.25,0,13.43,50.42,25.52,0,0,48.91,0,30.41,0,50.45,68.44,26
"23",2009-04-30,87.419998,NA,125.83,25.22,40.05,8.93,3.05,35.58,19.32,66.1,27.9,21.9,16,12.65,NA,128.5,26.32,NA,103.21,15.78,52.36,33,43.05,NA,53.29,57.6,24.24,20.26,52.47,13.36,49.44,25.62,41.14,23.52,48.84,64.96,30.34,31.43,50.4,66.67,8168.12,81.41,0.14748072,0,0,25.22,40.05,8.93,3.05,35.58,0,66.1,27.9,21.9,0,12.65,0,0,26.32,0,103.21,15.78,52.36,33,43.05,0,53.29,57.6,24.24,20.26,0,13.36,49.44,25.62,0,0,48.84,0,30.34,0,50.4,66.67,26
"24",2009-05-01,87.889999,NA,127.24,24.29,41.21,8.7,2.97,37.26,19.58,66.87,27.87,21.94,15.7,12.69,NA,127.08,25.77,NA,104.61,15.81,52.59,32.49,42.47,NA,52.4,57.88,24.3,20.24,52.92,13.58,49.5,26.01,41.21,22.97,49.52,65.01,30.55,31.53,50.05,68.01,8212.41,81.9,0.14748072,0,0,24.29,41.21,8.7,2.97,37.26,0,66.87,27.87,21.94,0,12.69,0,0,25.77,0,104.61,15.81,52.59,32.49,42.47,0,52.4,57.88,24.3,20.24,0,13.58,49.5,26.01,0,0,49.52,0,30.55,0,50.05,68.01,26
"25",2009-05-04,90.879997,NA,132.07,27.28,42.18,10.38,3.2,38.48,19.5,66.68,29.4,22.86,16.39,13.1,NA,134.16,26.21,NA,106.19,16.66,53.76,35.79,43.17,NA,52.77,58.48,24.62,20.19,55.27,13.98,50.99,26.69,42.12,23.72,51.18,68.2,31.04,31.52,50.84,68.2,8426.74,83.98,0.14748072,0,0,27.28,42.18,10.38,3.2,38.48,0,66.68,29.4,22.86,0,13.1,0,0,26.21,0,106.19,16.66,53.76,35.79,43.17,0,52.77,58.48,24.62,20.19,0,13.98,50.99,26.69,0,0,51.18,0,31.04,0,50.84,68.2,26
"26",2009-05-05,90.57,NA,132.71,26.57,43.15,10.84,3.31,39.41,19.63,65.75,29.07,23.15,16.33,13.1,NA,135.2,26.19,NA,105.85,16.16,54.36,34.82,43.14,NA,53.16,58.43,24.59,19.79,55,14.28,49.79,26.5,39.9,25.56,51.83,67.39,30.63,31.42,50.46,67.65,8410.65,83.9,0.14748072,0,0,26.57,43.15,10.84,3.31,39.41,0,65.75,29.07,23.15,0,13.1,0,0,26.19,0,105.85,16.16,54.36,34.82,43.14,0,53.16,58.43,24.59,19.79,0,14.28,49.79,26.5,0,0,51.83,0,30.63,0,50.46,67.65,26
"27",2009-05-06,92.139999,NA,132.5,27.14,44.2,12.69,3.86,40,19.61,68.11,28.76,25.87,15.19,13.67,NA,139.22,26.04,NA,104.62,16.12,54.21,37.22,42.94,NA,53.69,59.14,24.61,19.79,54.61,13.91,50.84,26.69,38.69,25.93,52.29,66.19,30.76,31.21,49.51,68.58,8512.28,84.94,0.14748072,0,0,27.14,44.2,12.69,3.86,40,0,68.11,28.76,25.87,0,13.67,0,0,26.04,0,104.62,16.12,54.21,37.22,42.94,0,53.69,59.14,24.61,19.79,0,13.91,50.84,26.69,0,0,52.29,0,30.76,0,49.51,68.58,26
"28",2009-05-07,90.860001,NA,129.06,25.97,43.53,13.51,3.81,37.92,18.95,67.98,27.91,25.33,15.75,13.96,NA,133.73,25.61,NA,102.59,15.77,54.89,35.24,42.8,NA,53.39,58.77,25.21,19.32,53.08,14.16,51.34,25.45,37.48,28.39,51.72,65.53,29.86,30.52,49.89,68.93,8409.85,83.91,0.14748072,0,0,25.97,43.53,13.51,3.81,37.92,0,67.98,27.91,25.33,0,13.96,0,0,25.61,0,102.59,15.77,54.89,35.24,42.8,0,53.39,58.77,25.21,19.32,0,14.16,51.34,25.45,0,0,51.72,0,29.86,0,49.89,68.93,26
"29",2009-05-08,92.980003,NA,129.19,28.4,45.83,14.17,4.02,39.64,18.73,70.38,28.38,25.46,17.5,14.53,NA,139.59,25.5,NA,101.49,15.29,54.98,38.94,42.92,NA,54.92,60.09,24.82,19.42,54.42,14.4,51.57,25.25,38.82,28.87,53.55,68.43,29.85,31.39,50.14,70.8,8574.65,85.46,0.14748072,0,0,28.4,45.83,14.17,4.02,39.64,0,70.38,28.38,25.46,0,14.53,0,0,25.5,0,101.49,15.29,54.98,38.94,42.92,0,54.92,60.09,24.82,19.42,0,14.4,51.57,25.25,0,0,53.55,0,29.85,0,50.14,70.8,26
"30",2009-05-11,91.239998,NA,129.57,26.04,44.72,12.94,3.86,38.43,18.61,68,27.63,24.71,17.63,14.19,NA,135.78,24.93,NA,102.9,15.37,54.11,35.83,42.75,NA,54.4,59.11,24.4,19.32,53.14,14.15,50.37,25.36,37.49,27.59,52.5,65.93,29.82,31.11,50.63,69.27,8418.77,84.17,0.14748072,0,0,26.04,44.72,12.94,3.86,38.43,0,68,27.63,24.71,0,14.19,0,0,24.93,0,102.9,15.37,54.11,35.83,42.75,0,54.4,59.11,24.4,19.32,0,14.15,50.37,25.36,0,0,52.5,0,29.82,0,50.63,69.27,26
